_id,TOTAL,fechaFactura,Client.DNI,Client.Name,Client.Surname,traficoMinutos
ObjectId(5e13d8e9054a095daa7ac546),13.8,2017-05-03,53887554A,Jaime,Menchola,99
ObjectId(5e13d8e9054a095daa7ac547),16.65,2017-05-03,83383980X,Jaime,"[""Aliaga"",""Oporto""]",99
ObjectId(5e13d8e9054a095daa7ac548),16.65,2017-05-03,83383980X,Jaime,"[""Aliaga"",""Oporto""]",0.9400000000000001
ObjectId(5e13d8e9054a095daa7ac549),13.8,2017-05-03,54641232V,Ofelia,Loyola,90.16
ObjectId(5e13d8e9054a095daa7ac54a),15.7,2017-05-03,31220800W,Deicola,Jimenez,12.12
ObjectId(5e13d8e9054a095daa7ac54b),21.6,2017-05-03,84001081K,Jorge Fco.,Mora,108.78
ObjectId(5e13d8e9054a095daa7ac54c),21.6,2017-05-03,84001081K,Jorge Fco.,Mora,43.7
ObjectId(5e13d8e9054a095daa7ac54d),21.6,2017-05-03,84001081K,Jorge Fco.,Mora,103.88
ObjectId(5e13d8e9054a095daa7ac54e),21.6,2017-05-03,84001081K,Jorge Fco.,Mora,117
ObjectId(5e13d8e9054a095daa7ac54f),21.6,2017-05-03,84001081K,Jorge Fco.,Mora,126.72
ObjectId(5e13d8e9054a095daa7ac550),21.6,2017-05-03,84001081K,Jorge Fco.,Mora,110.88
ObjectId(5e13d8e9054a095daa7ac551),21.6,2017-05-03,84001081K,Jorge Fco.,Mora,4.24
ObjectId(5e13d8e9054a095daa7ac552),21.6,2017-05-03,84001081K,Jorge Fco.,Mora,87.22
ObjectId(5e13d8e9054a095daa7ac553),21.6,2017-05-03,84001081K,Jorge Fco.,Mora,106
ObjectId(5e13d8e9054a095daa7ac554),21.6,2017-05-03,84001081K,Jorge Fco.,Mora,113
ObjectId(5e13d8e9054a095daa7ac555),13.8,2017-05-03,61475943W,Victor Enrique,"[""Apaza"",""Okuma""]",115
ObjectId(5e13d8e9054a095daa7ac556),13.8,2017-05-03,61475943W,Victor Enrique,"[""Apaza"",""Okuma""]",73.5
ObjectId(5e13d8e9054a095daa7ac557),17.6,2017-05-03,16304184J,Adelgiro,Camayo,2.3000000000000003
ObjectId(5e13d8e9054a095daa7ac558),17.6,2017-05-03,16304184J,Adelgiro,Camayo,117
ObjectId(5e13d8e9054a095daa7ac559),17.6,2017-05-03,16304184J,Adelgiro,Camayo,92
